EmployeeName,Date,Total Sales ($),Sales Target Met (Yes/No),Day,Employee Shift
Junaid,2024-09-30,1461,Yes,Monday,Morning
Sultan,2024-09-06,1459,Yes,Friday,Morning
Ramzan,2024-09-27,1330,Yes,Friday,Morning
Shan,2024-09-11,877,No,Wednesday,Morning
Sultan,2024-09-03,724,No,Tuesday,Night
Junaid,2024-09-05,1494,Yes,Thursday,Morning
Ali,2024-09-16,882,No,Monday,Night
Arif,2024-09-21,700,No,Saturday,Morning
Shan,2024-09-07,851,No,Saturday,Morning
Feroz,2024-09-23,764,No,Monday,Night
Sultan,2024-09-30,1491,Yes,Monday,Night
Karim,2024-09-15,1405,Yes,Sunday,Morning
Feroz,2024-09-19,1249,Yes,Thursday,Night
Arif,2024-09-21,812,No,Saturday,Morning
Ali,2024-09-03,1420,Yes,Tuesday,Night
Ali,2024-09-03,917,No,Tuesday,Morning
Asif,2024-09-25,1217,Yes,Wednesday,Morning
Karim,2024-09-16,1496,Yes,Monday,Morning
Ramzan,2024-09-11,1440,Yes,Wednesday,Morning
Arif,2024-09-23,867,No,Monday,Night
Shan,2024-09-04,864,No,Wednesday,Night
Arif,2024-09-15,875,No,Sunday,Night
Shan,2024-09-24,842,No,Tuesday,Morning
Sultan,2024-09-13,1389,Yes,Friday,Morning
Asif,2024-09-16,1444,Yes,Monday,Morning
Sultan,2024-09-05,1034,Yes,Thursday,Morning
Sultan,2024-09-26,815,No,Thursday,Night
Feroz,2024-09-12,1462,Yes,Thursday,Morning
Ali,2024-09-20,1123,Yes,Friday,Night
Ali,2024-09-22,1339,Yes,Sunday,Morning
Feroz,2024-09-13,933,No,Friday,Morning
Karim,2024-09-15,1027,Yes,Sunday,Morning
Sultan,2024-09-03,846,No,Tuesday,Night
Shan,2024-09-23,1414,Yes,Monday,Morning
Karim,2024-09-23,888,No,Monday,Morning
Karim,2024-09-19,1345,Yes,Thursday,Night
Shan,2024-09-08,793,No,Sunday,Morning
Ali,2024-09-30,920,No,Monday,Morning
Ramzan,2024-09-23,1216,Yes,Monday,Morning
Sultan,2024-09-21,1104,Yes,Saturday,Morning
Ali,2024-09-13,762,No,Friday,Night
Shan,2024-09-07,1357,Yes,Saturday,Night
Ali,2024-09-22,894,No,Sunday,Night
Shan,2024-09-30,1119,Yes,Monday,Morning
Karim,2024-09-24,1217,Yes,Tuesday,Night
Karim,2024-09-12,1266,Yes,Thursday,Night
Feroz,2024-09-21,1461,Yes,Saturday,Night
Arif,2024-09-21,1115,Yes,Saturday,Morning
Karim,2024-09-16,1377,Yes,Monday,Night
Ali,2024-09-11,1062,Yes,Wednesday,Morning
Junaid,2024-09-09,1282,Yes,Monday,Night
Sultan,2024-09-27,991,No,Friday,Morning
Shan,2024-09-29,978,No,Sunday,Night
Ali,2024-09-11,955,No,Wednesday,Morning
Feroz,2024-09-16,925,No,Monday,Morning
Ramzan,2024-09-09,924,No,Monday,Morning
Sultan,2024-09-15,896,No,Sunday,Night
Asif,2024-09-07,1186,Yes,Saturday,Night
Shan,2024-09-03,1249,Yes,Tuesday,Morning
Arif,2024-09-21,1238,Yes,Saturday,Night
Ali,2024-09-20,1338,Yes,Friday,Morning
Ramzan,2024-09-11,824,No,Wednesday,Morning
Ali,2024-09-18,1360,Yes,Wednesday,Morning
Junaid,2024-09-12,1112,Yes,Thursday,Morning
Karim,2024-09-15,1046,Yes,Sunday,Night
Junaid,2024-09-23,889,No,Monday,Morning
Feroz,2024-09-30,917,No,Monday,Morning
Sultan,2024-09-15,1085,Yes,Sunday,Morning
Shan,2024-09-05,836,No,Thursday,Night
Asif,2024-09-18,906,No,Wednesday,Morning
Asif,2024-09-26,719,No,Thursday,Night
Shan,2024-09-29,727,No,Sunday,Night
Ali,2024-09-23,1276,Yes,Monday,Night
Asif,2024-09-27,1392,Yes,Friday,Night
Ali,2024-09-24,1044,Yes,Tuesday,Morning
